"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2009";"Uhrien lukumäärä";..;..
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2010";"Uhrien lukumäärä";..;..
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2011";"Uhrien lukumäärä";117;44
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2012";"Uhrien lukumäärä";284;94
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2013";"Uhrien lukumäärä";178;82
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2014";"Uhrien lukumäärä";174;78
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2015";"Uhrien lukumäärä";144;51
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2016";"Uhrien lukumäärä";164;63
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2017";"Uhrien lukumäärä";122;67
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2018";"Uhrien lukumäärä";166;107
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2019";"Uhrien lukumäärä";176;121
"KOKO MAA";"Kiristys 31:3§1";"Yhteensä";"2020";"Uhrien lukumäärä";2949;6022
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2009";"Uhrien lukumäärä";..;..
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2010";"Uhrien lukumäärä";..;..
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2011";"Uhrien lukumäärä";38;9
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2012";"Uhrien lukumäärä";31;10
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2013";"Uhrien lukumäärä";30;7
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2014";"Uhrien lukumäärä";25;8
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2015";"Uhrien lukumäärä";24;5
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2016";"Uhrien lukumäärä";47;8
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2017";"Uhrien lukumäärä";22;9
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2018";"Uhrien lukumäärä";44;12
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2019";"Uhrien lukumäärä";28;5
"KOKO MAA";"Törkeä kiristys 31:4§1/1-4";"Yhteensä";"2020";"Uhrien lukumäärä";39;13
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2009";"Uhrien lukumäärä";67;108
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2010";"Uhrien lukumäärä";95;109
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2011";"Uhrien lukumäärä";133;177
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2012";"Uhrien lukumäärä";130;186
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2013";"Uhrien lukumäärä";164;195
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2014";"Uhrien lukumäärä";117;199
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2015";"Uhrien lukumäärä";119;192
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2016";"Uhrien lukumäärä";115;146
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2017";"Uhrien lukumäärä";136;198
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2018";"Uhrien lukumäärä";146;206
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2019";"Uhrien lukumäärä";171;232
"KOKO MAA";"Vapaudenriisto 25:1-2§";"Yhteensä";"2020";"Uhrien lukumäärä";164;238
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2009";"Uhrien lukumäärä";..;..
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2010";"Uhrien lukumäärä";..;..
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2011";"Uhrien lukumäärä";19;12
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2012";"Uhrien lukumäärä";17;13
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2013";"Uhrien lukumäärä";22;19
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2014";"Uhrien lukumäärä";16;12
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2015";"Uhrien lukumäärä";23;16
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2016";"Uhrien lukumäärä";19;9
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2017";"Uhrien lukumäärä";22;23
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2018";"Uhrien lukumäärä";46;11
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2019";"Uhrien lukumäärä";35;29
"KOKO MAA";"Törkeä vapaudenriisto 25:2§1/1-3";"Yhteensä";"2020";"Uhrien lukumäärä";39;25
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2011";"Uhrien lukumäärä";0;0
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2012";"Uhrien lukumäärä";0;0
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2013";"Uhrien lukumäärä";0;0
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2014";"Uhrien lukumäärä";48;157
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2015";"Uhrien lukumäärä";46;190
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2016";"Uhrien lukumäärä";76;264
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2017";"Uhrien lukumäärä";164;552
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2018";"Uhrien lukumäärä";161;554
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2019";"Uhrien lukumäärä";150;528
"KOKO MAA";"Vainoaminen 25:7a§";"Yhteensä";"2020";"Uhrien lukumäärä";162;544
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2010";"Uhrien lukumäärä";0;1
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2011";"Uhrien lukumäärä";10;8
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2012";"Uhrien lukumäärä";11;9
"KOKO MAA";"Ihmiskauppa 25:3§1/1-4";"Yhteensä";"2013";"Uhrien lukumäärä";8;11
